neighborhood,year,denom_tot_pop_count,immigrant_total_pop_pct,denom_tot_immigrant_count,immigrant_noncitizen_pop_pct,immigrant_citizen_pop_pct,denom_renter_housing_count,rent_burden_pct,severe_rent_burden_pct,denom_total_pop,american_indian_native_pop_pct,asian_pop_pct,black_pop_pct,hispanic_pop_pct,native_hawaiian_pacific_islander_pop_pct,other_race_pop_pct,mix_pop_pct,white_pop_pct
Montebello,2013,62731,37%,23261,48%,52%,10191,58%,30%,62731,0%,12%,1%,77%,0%,0%,1%,9%
Leimert Park,2013,13005,13%,1717,58%,41%,3157,64%,44%,13005,0%,3%,73%,19%,1%,0%,2%,2%
Santa Clarita,2013,177136,22%,38924,47%,53%,19970,53%,24%,177136,0%,11%,3%,32%,0%,0%,4%,50%
Elysian Park,2013,2212,54%,1188,58%,42%,618,60%,32%,2212,0%,42%,3%,44%,0%,0%,0%,10%
Wilmington,2013,57814,38%,22104,70%,30%,7956,61%,34%,57814,0%,2%,2%,88%,1%,0%,1%,6%
Jefferson Park,2013,23829,36%,8623,69%,31%,5598,66%,39%,23829,0%,3%,36%,53%,0%,1%,2%,5%
Downtown,2013,43383,34%,14820,57%,43%,19313,55%,25%,43383,0%,22%,19%,29%,1%,0%,2%,27%
Encino,2013,44553,35%,15800,26%,74%,7760,52%,29%,44553,0%,6%,3%,11%,0%,0%,3%,76%
West Adams,2013,22065,37%,8270,63%,37%,4833,65%,35%,22065,0%,1%,29%,64%,0%,1%,1%,4%
Hawaiian Gardens,2013,15146,45%,6771,62%,38%,2138,64%,32%,15146,0%,15%,3%,70%,0%,0%,1%,10%
Agoura Hills,2013,17296,19%,3210,35%,65%,1506,59%,49%,17296,0%,7%,1%,13%,0%,0%,3%,75%
Baldwin Hills/Crenshaw,2013,29397,25%,7335,64%,36%,9246,65%,35%,29397,0%,4%,60%,28%,0%,1%,3%,4%
Lake View Terrace,2013,13475,37%,5043,55%,45%,1178,64%,29%,13475,0%,7%,9%,64%,0%,0%,1%,19%
Adams-Normandie,2013,18323,45%,8177,69%,31%,4106,64%,36%,18323,0%,8%,20%,64%,0%,1%,0%,7%
El Monte,2013,108462,51%,55771,55%,45%,16463,64%,37%,108462,0%,28%,0%,66%,0%,0%,0%,5%
Rancho Dominguez,2013,2540,22%,551,46%,54%,78,78%,42%,2540,0%,6%,27%,40%,0%,0%,2%,24%
Acton,2013,2964,11%,321,24%,76%,116,56%,9%,2964,0%,2%,0%,20%,0%,0%,3%,74%
Studio City,2013,36966,21%,7702,39%,61%,10056,46%,26%,36966,0%,7%,5%,12%,0%,0%,3%,72%
La Puente,2013,40642,41%,16848,61%,39%,3801,54%,27%,40642,0%,8%,1%,85%,0%,0%,0%,4%
North Hollywood,2013,81293,42%,33796,58%,42%,23017,57%,30%,81293,0%,8%,5%,56%,0%,0%,2%,29%
Rosemead,2013,52123,57%,29683,36%,64%,7089,63%,38%,52123,0%,61%,0%,33%,1%,0%,1%,4%
San Marino,2013,13196,38%,5060,25%,75%,506,34%,19%,13196,0%,51%,0%,9%,0%,1%,1%,39%
East San Gabriel,2013,20740,47%,9784,35%,65%,2607,49%,27%,20740,0%,51%,1%,23%,0%,0%,3%,21%
South Park,2013,32653,49%,15965,81%,19%,5379,72%,46%,32653,0%,0%,12%,86%,0%,0%,0%,1%
Burbank,2013,103584,35%,36400,35%,65%,23577,52%,27%,103584,0%,12%,2%,26%,0%,0%,3%,57%
Woodland Hills,2013,63899,27%,17355,33%,67%,9210,50%,27%,63899,0%,9%,5%,12%,0%,0%,4%,69%
Angeles Crest,2013,4610,19%,888,32%,68%,272,55%,22%,4610,0%,6%,4%,31%,0%,0%,3%,54%
East Compton,2013,11708,38%,4476,79%,21%,1202,60%,32%,11708,0%,1%,13%,84%,0%,0%,0%,1%
Chatsworth,2013,49212,31%,15169,38%,62%,5595,57%,29%,49212,0%,20%,4%,24%,0%,0%,3%,49%
Mayflower Village,2013,9629,36%,3462,41%,59%,735,48%,24%,9629,0%,19%,4%,49%,0%,0%,1%,26%
Koreatown,2013,106722,64%,67932,71%,29%,39601,60%,31%,106722,0%,36%,4%,49%,0%,0%,1%,8%
South Gate,2013,95017,43%,41242,59%,41%,12407,64%,34%,95017,0%,1%,1%,96%,0%,0%,0%,3%
Elysian Valley,2013,7362,47%,3489,46%,54%,1285,48%,26%,7362,0%,27%,1%,61%,1%,0%,2%,8%
Claremont,2013,38614,18%,6939,32%,68%,4052,48%,21%,38614,0%,14%,5%,23%,0%,0%,3%,55%
Avocado Heights,2013,13198,35%,4633,41%,59%,785,54%,30%,13198,0%,11%,0%,82%,0%,0%,1%,7%
South San Gabriel,2013,8328,44%,3704,29%,71%,642,50%,30%,8328,0%,46%,1%,45%,0%,0%,1%,6%
Northwest Antelope Valley,2013,5029,11%,570,41%,59%,308,49%,20%,5029,1%,6%,3%,19%,0%,1%,2%,69%
Echo Park,2013,35172,43%,15036,58%,42%,10124,53%,28%,35172,0%,17%,2%,57%,0%,0%,1%,23%
Lynwood,2013,68757,39%,26925,64%,36%,8001,67%,38%,68757,0%,1%,8%,88%,0%,0%,0%,2%
Unincorporated Santa Susana Mountains,2013,23186,23%,5399,40%,60%,2568,55%,24%,23186,0%,19%,2%,22%,0%,0%,4%,52%
Shadow Hills,2013,12372,34%,4231,26%,74%,1152,52%,29%,12372,0%,9%,1%,24%,0%,0%,1%,65%
La Habra Heights,2013,8410,21%,1776,21%,79%,182,45%,21%,8410,0%,17%,0%,28%,0%,0%,1%,52%
Covina,2013,54126,21%,11596,43%,57%,6766,56%,27%,54126,0%,11%,3%,56%,0%,0%,2%,28%
Northwest Palmdale,2013,4252,13%,566,28%,72%,172,63%,26%,4252,0%,7%,9%,27%,0%,0%,2%,55%
Sawtelle,2013,39785,35%,13818,50%,50%,14314,45%,24%,39785,0%,22%,3%,23%,0%,0%,4%,48%
Rancho Park,2013,5485,30%,1643,54%,46%,1232,46%,25%,5485,0%,26%,2%,12%,0%,0%,5%,55%
East Los Angeles,2013,126343,43%,54371,70%,30%,20378,59%,32%,126343,0%,1%,0%,97%,0%,0%,0%,1%
Beverlywood,2013,6827,26%,1797,25%,75%,918,63%,38%,6827,0%,7%,2%,7%,0%,1%,3%,79%
Bellflower,2013,76883,29%,22123,51%,49%,14288,57%,31%,76883,0%,11%,14%,53%,0%,0%,1%,20%
Azusa,2013,45080,34%,15301,58%,42%,5163,57%,30%,45080,0%,8%,2%,70%,0%,0%,1%,18%
Del Rey,2013,30365,34%,10370,58%,42%,7008,46%,20%,30365,0%,15%,4%,44%,0%,0%,3%,35%
Mid-Wilshire,2013,40961,34%,13875,51%,49%,15318,51%,28%,40961,0%,24%,15%,18%,0%,0%,4%,38%
North Whittier,2013,7110,20%,1449,25%,75%,465,52%,27%,7110,0%,12%,2%,55%,0%,1%,1%,28%
Beverly Crest,2013,11502,24%,2719,25%,75%,473,36%,20%,11502,0%,6%,1%,7%,0%,0%,3%,82%
Cerritos,2013,49379,45%,22285,24%,76%,2996,53%,27%,49379,0%,61%,7%,12%,0%,1%,3%,16%
West Hills,2013,38356,24%,9276,24%,76%,1989,60%,30%,38356,0%,15%,3%,15%,0%,0%,4%,62%
Vincent,2013,13885,33%,4639,51%,49%,1034,49%,19%,13885,1%,9%,2%,70%,0%,0%,1%,16%
Sun Village,2013,1675,22%,370,46%,54%,113,65%,41%,1675,0%,1%,8%,62%,0%,0%,1%,27%
Playa del Rey,2013,11357,21%,2357,38%,62%,3028,46%,23%,11357,0%,12%,7%,14%,0%,0%,4%,63%
Valinda,2013,18672,41%,7608,52%,48%,910,58%,22%,18672,0%,16%,1%,74%,0%,0%,1%,8%
Tujunga,2013,28503,41%,11646,41%,59%,4614,58%,32%,28503,0%,8%,3%,29%,0%,0%,3%,58%
Exposition Park,2013,33456,43%,14512,67%,33%,6715,66%,45%,33456,0%,3%,24%,67%,1%,1%,1%,3%
Eagle Rock,2013,33215,36%,12113,41%,59%,4972,54%,27%,33215,0%,25%,1%,42%,0%,0%,3%,29%
Harbor City,2013,25666,34%,8655,56%,44%,4150,54%,28%,25666,0%,15%,9%,52%,1%,0%,5%,19%
Southeast Antelope Valley,2013,8049,15%,1236,33%,67%,645,48%,25%,8049,0%,3%,6%,28%,0%,1%,2%,60%
Reseda,2013,69131,46%,32051,54%,46%,10021,62%,35%,69131,0%,13%,3%,54%,1%,0%,2%,28%
Willowbrook,2013,34925,28%,9685,72%,28%,4548,59%,36%,34925,0%,1%,38%,58%,0%,0%,1%,1%
Highland Park,2013,51562,42%,21845,55%,45%,9648,57%,31%,51562,0%,12%,2%,71%,0%,0%,1%,13%
Temple City,2013,36810,47%,17203,30%,70%,4248,55%,33%,36810,0%,55%,1%,18%,0%,0%,2%,22%
Westlake Village,2013,7805,12%,974,17%,83%,490,47%,24%,7805,0%,5%,1%,8%,0%,0%,2%,85%
Pico-Robertson,2013,18166,28%,5006,30%,70%,6106,53%,31%,18166,1%,10%,5%,10%,0%,1%,4%,70%
Monrovia,2013,38258,26%,9953,42%,58%,6519,46%,23%,38258,0%,13%,6%,41%,0%,1%,2%,38%
Broadway-Manchester,2013,26197,35%,9232,75%,25%,4282,74%,51%,26197,0%,0%,32%,66%,0%,0%,1%,1%
Sunland,2013,15072,34%,5064,32%,68%,1667,66%,24%,15072,0%,9%,2%,26%,0%,0%,3%,60%
Agua Dulce,2013,4173,10%,409,16%,84%,118,90%,12%,4173,0%,2%,1%,24%,0%,0%,9%,65%
Malibu,2013,9354,15%,1398,33%,67%,759,53%,32%,9354,0%,6%,2%,8%,0%,0%,3%,81%
Topanga,2013,7515,18%,1369,42%,58%,512,55%,26%,7515,0%,4%,1%,7%,0%,0%,3%,85%
Northeast Antelope Valley,2013,21959,16%,3578,53%,47%,1882,51%,29%,21959,0%,2%,9%,50%,0%,0%,2%,36%
Arleta,2013,33799,49%,16610,54%,46%,1968,63%,34%,33799,0%,11%,1%,78%,0%,0%,1%,8%
Van Nuys,2013,109086,47%,51777,65%,35%,25988,64%,36%,109086,0%,7%,5%,63%,0%,0%,1%,24%
Mar Vista,2013,36896,27%,9784,54%,46%,9551,44%,23%,36896,0%,12%,5%,26%,0%,0%,3%,54%
Valley Glen,2013,56684,46%,25953,53%,47%,13096,63%,37%,56684,0%,5%,5%,42%,0%,0%,2%,45%
Arcadia,2013,60551,48%,28893,32%,68%,7817,46%,28%,60551,0%,57%,1%,14%,0%,0%,2%,26%
Windsor Square,2013,7148,47%,3371,57%,43%,1568,62%,28%,7148,0%,46%,2%,14%,0%,1%,2%,33%
West Puente Valley,2013,19783,38%,7427,48%,52%,1097,55%,26%,19783,0%,8%,2%,84%,0%,0%,0%,6%
Central-Alameda,2013,42250,48%,20399,83%,17%,6607,72%,41%,42250,0%,1%,8%,90%,0%,0%,0%,0%
Arlington Heights,2013,22249,52%,11486,67%,33%,5721,65%,35%,22249,0%,17%,16%,58%,0%,0%,1%,6%
Harvard Heights,2013,19112,57%,10955,69%,31%,4929,62%,35%,19112,0%,21%,10%,62%,0%,0%,1%,6%
Harvard Park,2013,9750,34%,3309,68%,32%,1509,66%,41%,9750,0%,1%,40%,58%,0%,0%,0%,1%
East Hollywood,2013,68548,59%,40626,65%,35%,21294,60%,33%,68548,0%,16%,3%,59%,0%,1%,1%,20%
Lennox,2013,20028,47%,9404,70%,30%,3106,60%,38%,20028,0%,1%,5%,91%,0%,0%,0%,3%
Larchmont,2013,8326,49%,4072,51%,49%,2657,52%,30%,8326,0%,28%,3%,36%,0%,0%,1%,32%
Tarzana,2013,37213,38%,14091,33%,67%,5969,56%,30%,37213,0%,7%,3%,21%,0%,0%,3%,66%
Rolling Hills,2013,2773,19%,529,22%,78%,70,55%,17%,2773,0%,18%,2%,5%,0%,0%,4%,70%
Mid-City,2013,52069,33%,16963,59%,41%,12437,60%,32%,52069,0%,4%,29%,48%,0%,0%,2%,16%
Westchester,2013,40895,18%,7201,38%,62%,7411,49%,26%,40895,0%,12%,15%,17%,0%,0%,4%,52%
Manchester Square,2013,12000,12%,1392,60%,40%,2028,60%,38%,12000,0%,1%,78%,19%,0%,0%,2%,1%
Rowland Heights,2013,43170,56%,24166,41%,59%,3858,55%,30%,43170,0%,59%,0%,28%,0%,0%,1%,11%
Ridge Route,2013,7079,19%,1364,47%,53%,711,50%,27%,7079,0%,5%,4%,27%,0%,0%,3%,60%
South San Jose Hills,2013,19492,40%,7873,63%,37%,1212,53%,25%,19492,0%,7%,1%,85%,0%,0%,1%,6%
Vermont-Slauson,2013,26905,42%,11237,75%,25%,4669,67%,40%,26905,0%,1%,26%,71%,0%,0%,0%,1%
Athens,2013,9100,33%,3026,74%,26%,1449,54%,36%,9100,0%,1%,44%,50%,0%,0%,3%,1%
Mount Washington,2013,14225,34%,4891,50%,50%,2001,62%,44%,14225,0%,11%,3%,56%,0%,0%,1%,29%
West Compton,2013,6366,21%,1311,60%,40%,572,50%,31%,6366,0%,2%,51%,39%,0%,0%,3%,4%
Los Feliz,2013,32790,35%,11319,35%,65%,12537,47%,27%,32790,0%,14%,2%,16%,0%,1%,2%,65%
Chinatown,2013,12927,47%,6075,55%,45%,3013,55%,30%,12927,0%,43%,13%,31%,1%,0%,1%,12%
Century City,2013,5734,28%,1585,30%,70%,1205,39%,21%,5734,0%,13%,2%,5%,1%,1%,3%,75%
Florence-Firestone,2013,60517,43%,26212,75%,25%,8952,65%,40%,60517,0%,0%,8%,90%,0%,0%,0%,1%
University Park,2013,24042,38%,9248,79%,21%,4953,66%,48%,24042,0%,25%,6%,34%,0%,1%,2%,32%
Hollywood Hills West,2013,15384,23%,3464,42%,58%,2969,49%,26%,15384,0%,4%,3%,7%,0%,1%,5%,80%
Unincorporated Santa Monica Mountains,2013,23307,18%,4155,38%,62%,1977,51%,27%,23307,0%,7%,2%,10%,0%,0%,4%,77%
West Los Angeles,2013,11919,30%,3537,29%,71%,3094,46%,29%,11919,0%,16%,2%,8%,1%,1%,3%,69%
Hancock Park,2013,10437,22%,2328,36%,64%,2628,49%,24%,10437,0%,13%,2%,10%,0%,0%,3%,71%
Canoga Park,2013,55245,46%,25341,66%,34%,11947,61%,33%,55245,0%,14%,4%,58%,0%,0%,2%,23%
Chesterfield Square,2013,8277,30%,2446,67%,33%,1364,63%,43%,8277,0%,1%,49%,49%,0%,0%,0%,0%
Hidden Hills,2013,2198,28%,608,18%,82%,192,35%,19%,2198,0%,10%,0%,11%,0%,0%,1%,78%
Norwalk,2013,105051,36%,37307,46%,54%,9360,55%,29%,105051,0%,12%,4%,71%,0%,0%,1%,12%
North El Monte,2013,2391,40%,953,24%,76%,230,55%,25%,2391,1%,44%,0%,31%,0%,0%,1%,22%
Monterey Park,2013,61190,54%,33134,34%,66%,8743,56%,27%,61190,0%,62%,1%,30%,0%,0%,2%,4%
Hollywood,2013,73085,42%,30909,59%,41%,33209,57%,31%,73085,0%,7%,5%,39%,0%,0%,3%,46%
Fairfax,2013,13187,25%,3303,38%,62%,4936,45%,22%,13187,1%,7%,3%,8%,0%,0%,4%,77%
Glassell Park,2013,22496,44%,9814,56%,44%,4185,58%,27%,22496,0%,18%,1%,63%,0%,0%,2%,16%
Watts,2013,40895,32%,13216,75%,25%,6312,65%,38%,40895,0%,0%,24%,74%,0%,0%,0%,1%
La Verne,2013,31029,15%,4612,31%,69%,2935,52%,24%,31029,0%,10%,4%,31%,0%,0%,3%,52%
Rancho Palos Verdes,2013,41424,28%,11688,27%,73%,2873,49%,19%,41424,0%,27%,3%,9%,0%,1%,4%,56%
Green Meadows,2013,34249,33%,11198,76%,24%,4818,71%,44%,34249,0%,0%,30%,67%,0%,0%,0%,2%
Del Aire,2013,8910,28%,2539,34%,66%,1219,48%,23%,8910,0%,9%,10%,50%,0%,0%,2%,29%
Vermont Knolls,2013,21299,33%,6957,81%,19%,4628,70%,46%,21299,0%,1%,38%,58%,0%,0%,1%,1%
Castaic,2013,10659,17%,1814,13%,87%,396,51%,12%,10659,0%,10%,2%,24%,0%,0%,6%,57%
Westwood,2013,54317,27%,14498,45%,55%,12782,59%,43%,54317,0%,26%,3%,9%,0%,0%,3%,58%
Venice,2013,34124,17%,5956,51%,49%,11441,47%,22%,34124,0%,5%,5%,18%,0%,0%,3%,68%
South Diamond Bar,2013,4826,40%,1913,36%,64%,202,53%,15%,4826,1%,54%,4%,17%,1%,1%,2%,22%
Universal City,2013,143,18%,26,38%,62%,29,56%,38%,143,0%,5%,4%,5%,1%,0%,4%,80%
Pacific Palisades,2013,23334,17%,4068,25%,75%,1904,50%,29%,23334,0%,4%,1%,5%,0%,0%,2%,86%
Bel-Air,2013,7294,23%,1674,15%,85%,475,36%,22%,7294,0%,9%,1%,4%,0%,0%,2%,82%
East Pasadena,2013,5627,39%,2179,32%,68%,600,54%,40%,5627,0%,24%,1%,40%,0%,0%,2%,32%
Cudahy,2013,24290,48%,11624,77%,24%,4705,58%,31%,24290,0%,1%,0%,98%,0%,0%,0%,1%
Palos Verdes Estates,2013,13165,17%,2290,27%,73%,567,35%,17%,13165,0%,19%,3%,4%,0%,0%,4%,71%
Ladera Heights,2013,12105,15%,1850,29%,71%,1923,42%,26%,12105,0%,6%,63%,7%,1%,0%,4%,19%
Walnut Park,2013,16018,47%,7584,62%,38%,1727,67%,32%,16018,0%,1%,0%,97%,0%,0%,0%,1%
La Crescenta-Montrose,2013,18578,34%,6340,36%,64%,2203,45%,17%,18578,0%,27%,1%,13%,1%,0%,2%,55%
Gardena,2013,58888,34%,19895,46%,54%,10690,55%,30%,58888,0%,27%,23%,36%,1%,0%,3%,10%
Duarte,2013,21276,35%,7418,43%,57%,2389,57%,31%,21276,0%,18%,6%,44%,0%,0%,2%,29%
La Mirada,2013,48699,23%,11419,33%,67%,3169,57%,32%,48699,0%,17%,2%,41%,0%,0%,2%,36%
Maywood,2013,25863,47%,12032,72%,28%,4443,58%,39%,25863,0%,0%,0%,98%,0%,0%,0%,2%
Alondra Park,2013,8759,34%,2972,48%,52%,1264,59%,27%,8759,0%,17%,14%,46%,2%,0%,1%,20%
Beverly Grove,2013,21145,28%,6015,32%,68%,8619,51%,25%,21145,0%,10%,2%,9%,0%,0%,4%,75%
Vermont Vista,2013,22572,34%,7583,76%,24%,4122,69%,45%,22572,0%,0%,36%,61%,0%,0%,2%,1%
Lawndale,2013,32722,40%,13142,59%,41%,6323,58%,31%,32722,0%,9%,8%,63%,0%,0%,4%,15%
Hyde Park,2013,35530,22%,7975,61%,39%,7514,67%,40%,35530,0%,1%,59%,34%,0%,1%,3%,2%
Lomita,2013,19957,27%,5401,53%,47%,4311,44%,23%,19957,0%,15%,2%,37%,1%,0%,6%,39%
South Pasadena,2013,25607,28%,7048,36%,64%,5407,39%,17%,25607,0%,31%,2%,20%,0%,0%,4%,42%
Westmont,2013,31358,24%,7459,65%,35%,6744,70%,44%,31358,0%,0%,50%,47%,0%,0%,1%,1%
San Pasqual,2013,2122,21%,454,33%,67%,375,27%,8%,2122,0%,17%,5%,14%,0%,0%,2%,62%
West Hollywood,2013,34631,28%,9637,35%,65%,17247,52%,28%,34631,0%,5%,3%,12%,0%,0%,3%,76%
Artesia,2013,16542,48%,7955,47%,53%,2049,47%,30%,16542,0%,37%,4%,36%,0%,0%,2%,21%
Manhattan Beach,2013,35203,11%,3839,26%,74%,4601,35%,16%,35203,0%,9%,1%,9%,0%,0%,4%,77%
West Carson,2013,20517,37%,7567,42%,58%,1721,44%,24%,20517,0%,29%,11%,32%,3%,0%,4%,20%
Hermosa Beach,2013,19546,11%,2057,43%,57%,5300,39%,17%,19546,1%,6%,1%,9%,0%,1%,4%,79%
Carthay,2013,5590,20%,1113,52%,48%,1672,47%,25%,5590,0%,8%,9%,18%,0%,0%,3%,61%
Beverly Hills,2013,34288,37%,12836,29%,71%,8427,47%,26%,34288,0%,7%,3%,6%,0%,0%,4%,80%
El Segundo,2013,16741,13%,2250,50%,50%,3930,35%,15%,16741,0%,7%,1%,18%,1%,0%,5%,68%
View Park-Windsor Hills,2013,10912,7%,783,45%,55%,1257,59%,29%,10912,0%,1%,77%,9%,0%,1%,5%,7%
Sierra Madre,2013,10966,16%,1766,33%,67%,1978,37%,22%,10966,0%,11%,1%,15%,0%,0%,3%,70%
Gramercy Park,2013,10285,9%,965,54%,46%,1487,66%,52%,10285,0%,1%,80%,16%,0%,0%,1%,1%
Aggregated,2013,9854817,35%,3464443,53%,47%,1708762,56%,31%,9854817,0%,14%,8%,48%,0%,0%,2%,27%
Irwindale,2014,1892,21%,401,52%,48%,131,47%,17%,1892,0%,3%,1%,90%,0%,0%,0%,5%
Pico-Union,2014,41166,59%,24451,73%,27%,11334,60%,30%,41166,0%,11%,3%,82%,0%,0%,0%,3%
Glendora,2014,53757,16%,8367,37%,63%,5250,51%,28%,53757,0%,8%,2%,30%,0%,0%,3%,57%
Industry,2014,22969,43%,9965,45%,55%,1748,53%,27%,22969,0%,30%,1%,57%,0%,0%,1%,11%
Sylmar,2014,77318,36%,28095,56%,44%,6521,64%,32%,77318,0%,5%,2%,78%,0%,0%,1%,13%
Torrance,2014,146541,29%,42426,42%,58%,24417,47%,24%,146541,0%,34%,3%,16%,0%,0%,5%,42%
Alhambra,2014,84178,51%,42703,36%,64%,17436,52%,28%,84178,0%,52%,1%,35%,0%,0%,1%,10%
Pico Rivera,2014,65325,33%,21371,49%,51%,5404,57%,27%,65325,0%,3%,1%,91%,0%,0%,0%,5%
Rolling Hills Estates,2014,10459,23%,2447,31%,69%,516,46%,19%,10459,0%,25%,2%,7%,0%,0%,4%,62%
Signal Hill,2014,11621,30%,3531,46%,54%,2191,56%,30%,11621,0%,23%,13%,31%,1%,0%,5%,27%
Hawthorne,2014,89142,35%,30772,56%,44%,21832,54%,27%,89142,0%,7%,23%,54%,1%,0%,4%,10%
North Hills,2014,58465,44%,25619,59%,41%,7951,65%,38%,58465,0%,13%,3%,63%,0%,0%,2%,19%
Hacienda Heights,2014,53449,43%,22738,33%,67%,3226,56%,29%,53449,0%,39%,1%,45%,0%,0%,1%,13%
Harbor Gateway,2014,40045,37%,14778,58%,42%,7085,64%,37%,40045,0%,17%,18%,55%,0%,0%,3%,7%
Lopez/Kagel Canyons,2014,1603,29%,461,55%,45%,71,60%,34%,1603,0%,4%,10%,57%,0%,0%,1%,28%
Citrus,2014,12537,36%,4480,60%,40%,1330,55%,31%,12537,0%,8%,2%,71%,0%,0%,1%,17%
Lake Balboa,2014,27085,35%,9399,44%,56%,3219,64%,34%,27085,0%,11%,4%,44%,0%,0%,3%,39%
Granada Hills,2014,53115,34%,17869,33%,67%,5047,57%,33%,53115,0%,16%,5%,29%,0%,0%,4%,46%
Palms,2014,43389,36%,15587,59%,41%,17641,50%,26%,43389,0%,22%,7%,25%,0%,0%,5%,41%
Santa Monica,2014,89876,23%,20500,42%,58%,33075,47%,24%,89876,0%,10%,4%,15%,0%,0%,4%,68%
Pacoima,2014,76013,44%,33549,67%,33%,7798,64%,39%,76013,0%,3%,4%,90%,0%,0%,0%,3%
Toluca Lake,2014,9107,15%,1385,37%,63%,2655,59%,30%,9107,0%,5%,7%,14%,1%,0%,3%,69%
Veterans Administration,2014,1045,17%,174,61%,38%,133,62%,45%,1045,0%,7%,31%,15%,0%,1%,4%,42%
Valley Village,2014,24751,27%,6630,46%,54%,7460,60%,34%,24751,0%,5%,7%,23%,0%,0%,4%,61%
Brentwood,2014,32915,23%,7655,30%,70%,7103,46%,25%,32915,0%,8%,1%,7%,0%,0%,3%,81%
Pomona,2014,153012,34%,51840,60%,40%,18271,61%,34%,153012,0%,9%,7%,69%,0%,0%,1%,13%
South Whittier,2014,53305,25%,13075,55%,45%,4878,55%,31%,53305,0%,4%,1%,75%,0%,1%,1%,17%
Pasadena,2014,141836,30%,43141,49%,51%,30619,49%,25%,141836,0%,15%,10%,33%,0%,0%,3%,38%
Winnetka,2014,54422,46%,24823,54%,46%,7852,60%,35%,54422,0%,17%,5%,51%,0%,0%,3%,24%
Palmdale,2014,157933,26%,40916,52%,48%,15064,66%,38%,157933,0%,4%,13%,58%,0%,0%,2%,22%
Porter Ranch,2014,26086,35%,9040,15%,85%,1310,54%,21%,26086,0%,26%,4%,13%,1%,0%,3%,53%
South El Monte,2014,19514,49%,9550,65%,35%,2727,60%,24%,19514,0%,12%,0%,85%,0%,0%,0%,2%
Tujunga Canyons,2014,7972,20%,1587,39%,61%,384,57%,24%,7972,0%,8%,4%,31%,0%,0%,4%,53%
Commerce,2014,13624,35%,4702,52%,48%,2001,56%,26%,13624,0%,1%,3%,93%,0%,0%,0%,3%
San Fernando,2014,24042,36%,8702,60%,40%,2595,65%,35%,24042,0%,1%,1%,90%,1%,0%,0%,6%
Sherman Oaks,2014,69694,26%,17773,37%,63%,18767,51%,27%,69694,0%,7%,4%,14%,0%,0%,4%,70%
Bradbury,2014,1217,31%,374,26%,74%,169,51%,43%,1217,0%,24%,3%,16%,0%,0%,3%,54%
Panorama City,2014,70155,53%,37262,63%,37%,11860,67%,37%,70155,0%,15%,2%,74%,0%,0%,1%,8%
Northridge,2014,65459,33%,21821,44%,56%,10891,59%,35%,65459,0%,17%,7%,34%,0%,0%,3%,39%
Culver City,2014,36386,23%,8317,36%,64%,6537,46%,28%,36386,0%,14%,7%,24%,0%,1%,4%,49%
Lakewood,2014,80747,21%,16960,37%,63%,7780,53%,25%,80747,0%,16%,7%,33%,1%,1%,4%,38%
Compton,2014,100281,30%,30339,71%,29%,10800,65%,38%,100281,0%,1%,31%,66%,0%,0%,1%,1%
Vernon,2014,419,36%,151,65%,35%,73,46%,23%,419,0%,1%,6%,86%,0%,0%,0%,7%
San Dimas,2014,36020,20%,7261,28%,72%,3538,48%,27%,36020,0%,13%,4%,32%,0%,0%,4%,47%
Inglewood,2014,112323,29%,32454,62%,38%,23651,62%,32%,112323,0%,1%,41%,52%,0%,0%,2%,3%
Charter Oak,2014,8470,19%,1630,41%,59%,947,49%,23%,8470,0%,11%,4%,49%,0%,0%,2%,34%
Paramount,2014,55556,38%,20920,64%,36%,8542,62%,34%,55556,0%,3%,10%,80%,1%,0%,1%,5%
San Pedro,2014,79449,24%,18907,52%,48%,17417,54%,28%,79449,0%,5%,6%,47%,0%,0%,4%,37%
Lincoln Heights,2014,29637,51%,15038,58%,42%,6234,66%,37%,29637,0%,24%,1%,70%,0%,0%,1%,4%
Boyle Heights,2014,89346,47%,41824,69%,31%,17436,63%,36%,89346,0%,3%,1%,93%,0%,0%,0%,2%
Historic South-Central,2014,46422,49%,22828,81%,19%,8553,70%,40%,46422,0%,1%,7%,90%,0%,0%,0%,1%
Avalon,2014,3524,35%,1228,64%,36%,933,56%,24%,3524,0%,0%,0%,73%,0%,0%,2%,25%
Westlake,2014,105024,61%,63669,74%,26%,34688,61%,32%,105024,0%,19%,4%,70%,0%,0%,1%,6%
Mission Hills,2014,18300,37%,6791,46%,54%,1538,62%,28%,18300,0%,9%,2%,68%,0%,0%,1%,19%
Quartz Hill,2014,10396,9%,899,37%,63%,898,50%,22%,10396,0%,3%,7%,30%,0%,1%,2%,56%
Marina del Rey,2014,8911,25%,2205,44%,56%,4933,46%,17%,8911,0%,9%,4%,10%,1%,1%,4%,71%
Bell,2014,35799,44%,15745,66%,34%,6507,65%,34%,35799,0%,1%,1%,94%,0%,0%,0%,5%
Long Beach,2014,466887,26%,122429,54%,46%,96213,55%,30%,466887,0%,13%,13%,42%,1%,0%,3%,28%
San Gabriel,2014,40865,54%,22185,40%,60%,6303,55%,31%,40865,0%,59%,1%,27%,0%,0%,1%,12%
Downey,2014,113459,35%,39529,45%,55%,16418,57%,28%,113459,0%,7%,4%,72%,0%,0%,1%,16%
Diamond Bar,2014,45954,43%,19629,31%,69%,3115,50%,25%,45954,0%,52%,3%,20%,1%,0%,2%,22%
